"pdb","energy (Mean)","energy (Standard deviation)"
"10gs",-53.8525,2.6040017281102243
"184l",-29.942500000000003,0.784787657055403
"185l",-23.235,0.11328430311927308
"186l",-30.65,0.04898979485725025
"187l",-23.509999999999998,0.042426406869440735
"188l",-23.5475,0.22291627725842594
"1a1e",-54.647499999999994,4.465515087870567
"1a28",-57.095,0.4031128874153787
"1a30",-10.21,13.73216904449791
"1a4r",-50.335,5.282805441556064
"1a4w",-64.6225,2.3478270095273177
"1a94",-59.16,5.126005592401773
"1a99",-36.585,3.533690233547131
"1a9m",-51.255,0.8104936767184288
"1a9q",-20.546666666666667,0.43615746392027643
"1add",-23.267500000000002,10.090230836474118
"1adl",-0.22500000000000003,0.044347115652166966
"1ai4",-8.649999999999999,8.79640835796065
"1ai5",-7.035,9.181160057421938
"1ai7",-15.523333333333333,0.7642207360006068
"1aid",-41.4275,7.556032358321405
"1aj7",-44.665,0.5519963767996918
"1ajn",-25.7175,6.962606671833947
"1ajp",-9.83,4.945792824883252
"1ajq",-24.5975,1.98446256368487
"1ajv",-65.07249999999999,3.2981042534566125
"1ajx",-49.1775,2.0670328976580947
"1amw",-7.277500000000001,9.87953566722647
"1atl",-34.13,1.4457523992716181
"1avn",-1.21,2.173982520628903
"1azm",-5.83,9.037503342553553
"1b05",-57.4325,5.7084579061832725
"1b3g",-54.5025,8.509705733259278
"1b3h",-83.64,0.6028266749247164
"1b3l",-49.3475,5.77117766722421
"1b40",-69.495,2.5621670515408277
"1b46",-59.635,4.8829806471047625
"1b4h",-60.47,5.3008930065289155
"1b4z",-49.7425,10.819043010667203
"1b52",-61.99,2.5456760726113528
"1b58",-69.715,5.802358715786602
"1b5h",-68.275,5.0788351682905555
"1b5i",-64.115,1.1050339361304946
"1b5j",-63.95750000000001,6.64985902106202
"1b6h",-69.545,10.681780438360127
"1b6j",-59.6525,7.20977288130501
"1b6k",-82.15750000000001,4.351224923321394
"1b6l",-35.957499999999996,7.008040025570656
"1b7h",-77.3325,6.527318872758258
"1b8n",-0.22,0
"1b8o",-34.415,2.8185398110841913
"1b8y",-32.5925,1.7091006406879463
"1b9j",-62.565,4.1347107919820525
"1bai",-57.102500000000006,8.474756142017638
"1bcd",0,0
"1bcu",-15.527500000000003,17.400814875554918
"1bdq",-49.7725,8.645721003286376
"1bhf",-50.96,6.06196337831246
"1bhx",-52.07,1.1672474744741044
"1bjv",-36.7225,0.5676486589430908
"1bma",-53.545,0.8649662806531243
"1bn1",-21.975,13.79667955222077
"1bn3",-29.1575,9.437900101894131
"1bn4",-22.405,7.221918027781822
"1bnn",-33.2,7.115012297951409
"1bnq",-1.015,0.9394501938190585
"1bnt",-33.47,1.7380640571241137
"1bnu",-23.8925,10.702935345035035
"1bnv",-15.4875,7.2986636904755855
"1bnw",-22.7175,6.846636035309609
"1bq4",-27.044999999999998,0.6231907145221038
"1br6",-21.9875,7.841060196172452
"1bty",-23.615,0.18411952639536852
"1bv7",-77.64000000000001,4.00043330986362
"1bwb",-85.8575,6.0359168041539375
"1bzc",-53.2025,1.3399595765043957
"1bzj",0.76,0.0955684745788765
"1bzy",-22.9925,1.327186874558362
"1c1u",-39.84,1.1637009925233217
"1c1v",-41.782500000000006,1.4584323775890602
"1c4u",-58.9375,2.751379956797404
"1c5n",-33.824999999999996,0.3657412564457453
"1c5o",-22.89,0.2273030282832443
"1c5p",-10.807500000000001,6.946545304442105
"1c5q",-31.2425,0.026299556395986582
"1c5s",-28.3475,0.2934138147166245
"1c5t",-25.764999999999997,0.16093476939412696
"1c5x",-34.425000000000004,0.29137604568690484
"1c5y",-29.277500000000003,0.22677080940921038
"1c70",-63.1375,4.8954494175713545
"1c83",0.4325,0.06075908711186047
"1c84",0.42333333333333334,0.00577350269189594
"1c86",-32.910000000000004,6.923448081218909
"1c87",-34.650000000000006,4.126184678368158
"1cbx",-51.04333333333333,3.0045687433196875
"1ceb",-28.7525,0.7368118258187366
"1cet",-28.892500000000002,0.8511315996953014
"1cgl",-42.75,1.52067967260265
"1ciz",-43.415,3.47189429562591
"1cnw",-32.3775,2.2843580425727987
"1cnx",-16.9725,12.400468741140394
"1cny",-36.464999999999996,4.812189383915304
"1cps",-9.692499999999999,2.5446070423544693
"1d2e",-32.54,0
"1d3d",-66.325,0.6894200461270908
"1d4h",-55.515,8.69668327582421
"1d4i",-58.7025,5.68718662140311
"1d4j",-59.15,12.039199862670795
"1d4k",-89.6175,3.9273008118385926
"1d4l",-53.457499999999996,2.6805767414247024
"1d4p",-51.504999999999995,1.5378448122835056
"1d4y",-64.63,2.6775984264513766
"1d7i",-7.163333333333334,7.760891271840712
"1d7j",-2.6475,4.895660493402976
"1d9i",-58.0775,2.983000446977341
"1df8",-38.365,0.381444622455124
"1dgm",-23.715,7.345808328563997
"1dhi",-42.08749999999999,1.2903584773232353
"1dhj",-41.512499999999996,4.108417172910521
"1dif",-81.5625,8.022283029163203
"1dqn",-39.57,2.604086532100373
"1drj",-28.877499999999998,0.19568256607804535
"1drk",-26.8125,3.648382061498888
"1dud",-6.265,5.79433343880036
"1duv",-79.55250000000001,2.4404695586433123
"1dzk",-26.39,0.5313504806936777
"1e2k",-38.13,1.0848041297855948
"1e2l",-38.2375,0.5977387946806215
"1e3v",-29.6825,1.2521281883259348
"1e4h",-28.4625,0.2707243370418387
"1e5j",-34.6975,4.9642345834982455
"1eb2",-49.23,0
"1ebw",-64.825,7.502290761271889
"1ebz",-58.472500000000004,2.8054277748680287
"1ec0",-62.69499999999999,6.07926804804671
"1ec1",-64.06,10.521663366597457
"1ec2",-64.28,4.115636848249187
"1ec3",-67.88250000000001,5.740977704189234
"1ecv",-36.625,4.477666803146521
"1efy",-37.957499999999996,1.0979488451955766
"1egh",-28.134999999999998,0.14849242405006063
"1ejn",-44.7025,3.7562958261209074
"1ela",-53.24,2.4094536033438554
"1elb",-27.3675,9.87105659660269
"1elc",-29.2275,15.69859521316053
"1eld",-40.8675,2.148602258834163
"1ele",-44.75,0
"1enu",-24.113333333333333,1.9942249956645437
"1epo",-20.9375,15.54377340502192
"1erb",-53.735,1.2535416493545044
"1ew9",-23.8225,4.006206643031073
"1ex8",-52.35,4.458676933799846
"1ez9",-42.7375,2.224820217455782
"1ezq",-60.65,0.4483302354288841
"1f0r",-44.1925,8.629300377203206
"1f0s",-34.7425,15.829014235468568
"1f0t",-38.64,2.9531790779880676
"1f0u",-51.2025,0.8860539863157462
"1f3e",-24.9725,1.2029512320401408
"1f4e",-21.410000000000004,10.675039422253516
"1f4f",-18.8975,6.602733651046868
"1f4g",-29.357499999999998,11.248239491879
"1f4x",-22.372500000000002,14.787971181560598
"1f5l",-27.11,0.1373559851873277
"1fch",-70.75999999999999,2.2615776204533877
"1fd0",-68.9525,0.8189169677094704
"1fh7",-36.3825,1.1746595251388277
"1fh8",-37.865,0.6818846432254834
"1fhd",-19.552500000000002,11.796557054214304
"1fiv",-83.5375,4.6169353110765
"1fjs",-55.894999999999996,0.2646381176902253
"1fkb",-58.1425,1.9160441017885879
"1fkf",-63.4525,1.949382380823744
"1fkg",-40.8425,1.754088082166855
"1fkh",-47.34,0
"1fki",-41.875,0.06454972243632062
"1fkn",-76.1075,11.274695487388241
"1fl3",-49.23,0.39724048131961887
"1flr",-45.4,0.1553490693040735
"1fm9",-78.85749999999999,2.341970324320858
"1fo0",-117.35,0
"1fpc",-57.97,0.5568363014982879
"1fq5",-69.695,6.381877989014383
"1ft7",-52.185,14.387213072725388
"1ftm",-42.81,1.0196404595085786
"1fv0",-32.48,0
"1fzq",-54.325,1.8058146822600907
"1g1d",0,0
"1g2k",-71.59,7.84095657429621
"1g2l",-56.142500000000005,0.7774906215934263
"1g2o",-43.23333333333333,0.7046512139590057
"1g30",-53.5675,0.21391197566816558
"1g32",-50.0975,1.4676142772087026
"1g35",-68.275,1.901902556213931
"1g36",-47.4525,1.1654577069403886
"1g46",0,0
"1g4o",0,0
"1g52",0,0
"1g53",0,0
"1g54",0,0
"1g7f",-48.855,3.5975408267315903
"1g7g",-47.989999999999995,4.35896776771749
"1g7q",-60.295,5.803754531910063
"1g7v",-30.027500000000003,5.420371297245248
"1g85",-29.1325,1.3750484839936734
"1gaf",-46.7675,0.10144785195750959
"1gai",-1.225,0.0525991127935351
"1gfy",-35.5725,7.712217039649963
"1ghv",-36.0175,2.166323690802851
"1ghw",-35.2225,1.3005735914078023
"1ghy",-26.6175,11.263588460166664
"1ghz",-29.6225,1.643276706258883
"1gi1",-30.1425,0.3891336531324026
"1gi4",-30.505,0.6912066743506362
"1gi7",-32.79,1.9295077092356892
"1gj6",-41.065,1.7907261097109
"1gjc",-38.932500000000005,1.0850307215309396
"1gnm",-57.260000000000005,2.558215523889158
"1gno",-49.42,5.1977110346767095
"1gpk",-38.43,2.4317757572055765
"1gpn",-45.277499999999996,1.6442095365249825
"1gvw",-14.5475,16.42031338515397
"1gvx",-69.24249999999999,18.91393555908794
"1gx8",-47.932500000000005,2.4844633894129027
"1gyx",-7.67,5.504925067609913
"1gyy",-9.799999999999999,8.496732705379562
"1h0a",-31.6825,5.760997454145139
"1h22",-69.545,2.6858952573273673
"1h23",-73.78,2.346785034893441
"1h4w",-24.54,0.22113344387522427
"1h5v",-44.8925,9.673711369824236
"1h6h",-40.04,4.54380897485797
"1hdq",-16.83,1.7099317725180376
"1hee",-33,6.197483360203547
"1hfs",-63.084999999999994,2.2504592123981753
"1hi3",-22.133333333333333,11.905168345442798
"1hi4",-29.247500000000002,0.974623859068893
"1hi5",-34.745,5.197489778729779
"1hih",-64.87,2.05923934176311
"1hlk",-10.952499999999999,4.513567509926779
"1hmr",-48.707499999999996,0.3761537806092087
"1hms",-45.849999999999994,0.6827884006050146
"1hmt",-48.575,0.33669966835102777
"1hos",-53.684999999999995,8.912607175606182
"1hp5",0,0
"1hpo",-53.56333333333333,3.1009890895219048
"1hpv",-56.455,10.887872458229237
"1hpx",-56.959999999999994,5.431930289194294
"1hsh",-64.66749999999999,3.009887871665565
"1hvh",-50.3725,4.688876020256214
"1hvi",-75.99249999999999,2.402170893170669
"1hvj",-68.89750000000001,2.4231436193509
"1hvk",-70.6225,11.631226289604989
"1hvl",-70.17500000000001,6.598512458627652
"1hvs",-66.515,2.9895986352687896
"1hwr",-44.07,6.5024456937370925
"1hxb",-57.215,8.94430358757269
"1hxw",-65.1675,8.123744518385518
"1i1e",-15.536666666666667,10.575771051480517
"1i2s",1.04,0.3541186241925154
"1i37",-52.0625,0.28523382221065696
"1i7z",-42.46,3.996840418797473
"1i9n",-21.975,1.5398809477791513
"1ie9",0,0
"1if7",0,0
"1if8",0,0
"1igb",-23.31666666666667,18.027962539714053
"1iih",-3.635,0.9593226777263215
"1iiq",-81.325,2.625737991498488
"1ik4",-38.16666666666667,1.7934975141698546
"1ivp",-68.7675,12.283920044784848
"1iy7",-31.557499999999997,2.923164666361886
"1izh",-55.519999999999996,1.2685161935637144
"1j01",-24.02,12.11703208985876
"1j14",-26.1375,0.2782534815597101
"1j16",-25.81,0.4580392996238805
"1j17",-49.932500000000005,2.903886763173328
"1j36",-54.99666666666667,0.772938117402264
"1j37",-22.545,2.999783325508698
"1j4r",-53.43,1.021469529648275
"1jak",-0.21749999999999997,0.02500000000000029
"1jao",-6.0600000000000005,11.640260592730156
"1jaq",-16.775,1.1401023345881744
"1jet",-59.4725,0.6592609498520817
"1jeu",-63.925,2.1574135749394796
"1jev",-80.5475,0.7737516828187934
"1jgl",-22.015,0.14177446878769287
"1jmf",-27.03,3.3127933832341565
"1jn4",-40.5075,6.629753011990703
"1jq8",-33.88,0
"1jqy",-36.985,2.162444604300209
"1jyq",-63.377500000000005,3.108669329471958
"1k1i",-44.135,0.952522965602167
"1k1j",-46.410000000000004,0.5895195784141172
"1k1l",-39.739999999999995,1.1020284327851737
"1k1m",-46.385,1.3378963587161588
"1k1n",-51.74,0.3528928071426162
"1k1o",-48.839999999999996,0.3001110905430638
"1k21",-55.74250000000001,0.8665400548541167
"1k22",-52.855000000000004,3.0645336785008777
"1k4g",-38.2275,1.3789941986824366
"1k4h",-34.9075,1.20787347571408
"1k6c",-61.83,6.10256230338257
"1k6p",-66.135,6.679134175425246
"1k6t",-64.3425,5.91557478187866
"1k6v",-64.2175,4.4508753820644404
"1kc7",20.4,1.343502884254464
"1kdk",-54.49250000000001,0.8113106679933565
"1kel",-42.144999999999996,0.37224543874589855
"1kjr",-39.465,0.29149042294153615
"1km3",-5.385,3.7790078062899
"1koj",-30.56,8.046208216710934
"1kpm",-49.072500000000005,0.9276269005731532
"1ksn",-51.942499999999995,1.1620491957456593
"1kv1",0,0
"1kv5",-2.155,2.054012333620874
"1kzk",-54.1225,2.948359713467929
"1l83",-17.69,0.16872067646429567
"1l8g",-45.557500000000005,6.5926594279799335
"1lag",-31.755000000000003,3.28334686968443
"1lah",-46.24,0.9657812036555187
"1lbf",-35.379999999999995,7.181977443573645
"1lbk",-34.725,0.7419568720617644
"1lee",-46.5925,6.382148932765479
"1lf2",-41.6075,4.792573247570988
"1lgw",-20.1525,0.14728091073407862
"1lhu",-47.7375,0.37259227045122273
"1li2",-18.735,0.2007485989987579
"1li3",-21.622500000000002,0.07675719293025919
"1li6",-18.6625,0.2561737691489012
"1lke",-60.193333333333335,0.4724757489365516
"1lkk",-67.2775,9.253962664718287
"1lkl",-56.11,5.843691755502975
"1lnm",-58.239999999999995,0.4975272186863759
"1lpg",-64.6,0.839999999999055
"1lpk",-55.21,0
"1lpz",-51.0075,1.5300190630621315
"1lyb",-69.7775,5.340364375832869
"1lyx",-0.9849999999999999,1.5027197565303607
"1lzq",-78.9425,3.078683430732616
"1m0b",-69.63250000000001,9.500110087081508
"1m2p",-35.51,0.1319090595816867
"1m2q",-33.465,0.8845526176170359
"1m2r",-33.38999999999999,0.7046039076441473
"1m2x",-5.7025,2.4405651667868544
"1m48",-48.425,0.397701730782455
"1m4h",-68.8625,1.0603890795366482
"1m7d",-44.535,2.7026221834851762
"1m7y",-46.145,3.3453500066012842
"1mai",-32.85,2.596189515424575
"1mes",-48.75750000000001,2.8564240464841038
"1met",-58.6325,10.701284580211237
"1mfi",-27.307499999999997,1.4943755663598417
"1mh5",-31.1375,15.789854073634334
"1moq",-31.19,1.9972647963318562
"1mq5",-67.05,0.5137444241393104
"1mq6",-61.4375,1.008542677993055
"1mrs",-26.654999999999998,4.7941526884320425
"1mrw",-47.8425,3.8031949288284603
"1mrx",-45.7225,6.046488650448297
"1msm",-61.1275,7.026503990842925
"1msn",-51.5,5.268048341970032
"1mtr",-82.86,0.40669398815383234
"1mu6",-51.977500000000006,0.48705749147318966
"1mu8",-57.3425,0.2577304793765726
"1n0s",-39.15333333333333,3.0731308682406304
"1n1m",-30.65,0
"1n46",-55.34,0.7947326594522278
"1n4h",-43.1575,0.6792827099230612
"1nc3",-0.6875,0.21715969546242506
"1ndv",-44.925000000000004,1.8868227261723076
"1ndw",-14.379999999999999,9.73464260600597
"1ndy",-27.97,1.4163097589628335
"1ndz",-44.275000000000006,4.7407488859883475
"1nf8",-32.2775,1.3736417533936536
"1nfu",-53.7775,2.20744762112245
"1nfw",-42.31999999999999,6.46422462481006
"1nfx",-49.23500000000001,2.6353304663110504
"1nfy",-51.597500000000004,4.290255431401263
"1nh0",-55.730000000000004,2.7745029584895606
"1nhu",-40.915,1.7432823446972554
"1nhz",-72.63,0.10614455552798925
"1njc",-31.380000000000003,1.8462033113029963
"1nje",-33.43,5.408370056372474
"1nl9",-53.58500000000001,1.2365947867694302
"1nli",-21.29,0.049665548085708396
"1nm6",-63.1525,2.146817411891226
"1nny",-77.52749999999999,1.84626424616506
"1no6",-41.9375,0.9017159567549944
"1nt1",-68.6,0.6503845016604236
"1nvq",-66.7025,0.2812324068568553
"1nvr",-65.9725,0.31212978070210284
"1nvs",-52.16,0.6962279320261261
"1nw5",-57.115,2.7754218898513097
"1nw7",-48.305,4.12238199750262
"1nwl",-32.4925,2.5228340545241297
"1nz7",-72.4075,2.100339258310629
"1o0f",-21.2,0
"1o0m",-18.315,1.6371825392016122
"1o0n",-31.5075,0.3266369034060542
"1o2h",-35.1275,0.14103781998743567
"1o2j",-35.0275,0.8400148808205145
"1o2n",-37.5275,1.1374056737446154
"1o2o",-35.86,1.4808781178746304
"1o2q",-34.582499999999996,0.5933731260059152
"1o2r",-36.12,0.6327190002937594
"1o2w",-35.3775,0.8308780496157537
"1o2z",-39.3125,0.7772333411960286
"1o30",-40.055,1.7188852977050642
"1o33",-29.052500000000002,1.3630205427651283
"1o35",-30.357499999999998,0.2615817271910195
"1o36",-43.21,0
"1o38",-32.8775,2.39470770658969
"1o3d",-33.870000000000005,0.6987131027823786
"1o3f",-34.8425,0.2741502021399873
"1o3i",-33.46,0.7984568450036725
"1o3j",-32.832499999999996,0.7845327696578798
"1o3l",-34.7625,0.5058573580239668
"1o5a",-39.0775,1.535651327613222
"1o5c",-39.582499999999996,0.689945650033126
"1o5e",-37.567499999999995,2.1517337970421866
"1o5r",-39.23,2.7458939042382644
"1o86",1.4,0.3132091952673166
"1oba",-23.377499999999998,0.306308667850056
"1ocq",-41.035,1.9850188915978886
"1oe8",-33.4725,0.678447983758746
